,COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,Predicted_CH4_per(10^4 Barrer),Predicted_CO4_per(10^4 Barrer),Predicted_H2S_per(10^4 Barrer)
5999,linker109_CH_linker85_N_dft_relaxed_interp_2.cif,23.87738,16.80665,0.177143,7569.35,5.14205,0.920581,1,0.518987342,0.35443038,0.101265823,0.025316456,4,0,0,0,401,0.611280488,0.126582278,0.394936709,27.80248654,20.648355,40.512726
6000,linker109_CH_linker3_N_unj_relaxed_interp_2.cif,25.70383,24.90911,0.180218,7318.52,5.01094,0.920579,1,0.544303797,0.405063291,0.050632911,0,0,0,0,0,313,0.606589147,0.050632911,0.153924051,29.84067916,20.51752,43.691418
6001,linker103_CO_linker52_NH_crb_relaxed.cif,28.23102,18.11539,0.182269,6217.38,5.00909,0.920574,1,0.528089888,0.314606742,0.08988764,0.06741573,1.333333333,0,0,0,249,0.662234043,0.157303371,0.505168539,32.62405381,20.862524,37.61873
6002,linker98_N_linker94_CH_jph_relaxed_interp_3.cif,23.2688,18.72105,0.19116,6897.67,4.71029,0.920573,1,0.589147287,0.379844961,0.031007752,0,0,0,0,0,1213,0.66502193,0.031007752,0.094263566,27.44026945,21.462317,40.915573
6003,linker110_C_linker19_C_und_relaxed.cif,19.74948,17.71423,0.211737,6609.16,4.18803,0.920571,1,0.548387097,0.451612903,0,0,0,0,0,0,641,0.589154412,0,0,24.92715978,22.362602,45.516964
6004,linker109_N_linker72_CH_sod_relaxed_interp_2.cif,32.70977,22.414,0.194048,6642.98,4.6804,0.920566,1,0.50617284,0.296296296,0.098765432,0.098765432,1,0,0,0,649,0.659552846,0.197530864,0.64,30.11614664,22.578672,41.3066
6005,linker105_CH_linker52_N_unj_relaxed.cif,20.81934,20.45394,0.209526,6594.65,4.29446,0.920566,1,0.5,0.323529412,0.117647059,0.058823529,2,0,0,0,505,0.618872549,0.176470588,0.56,28.03673588,22.832527,47.559013
6006,linker104_CH_linker36_N_gis_relaxed_interp_2.cif,27.07621,18.60692,0.192112,6832.16,4.72767,0.920566,1,0.525,0.325,0.1,0.05,2,0,0,0,865,0.64360119,0.15,0.476,27.99466652,22.46727,39.12242
6007,linker101_CH_linker58_N_unj_relaxed.cif,17.89966,17.36407,0.209425,7479.45,4.30321,0.920565,1,0.48,0.32,0.2,0,0,0,0,0,325,0.564236111,0.2,0.608,26.94003944,24.582993,45.23962
6008,linker111_C_linker54_C_gis_relaxed.cif,21.72892,15.05505,0.206017,6599.98,4.38305,0.920564,1,0.545454545,0.311688312,0.051948052,0.077922078,0.666666667,0,0,0.012987013,465,0.691964286,0.12987013,0.425974026,28.43099607,20.632448,45.74083
6009,linker104_N_linker48_CH_lon_relaxed.cif,18.64041,16.98505,0.187314,7333.8,4.84428,0.920563,1,0.486486486,0.351351351,0.108108108,0.054054054,2,0,0,0,337,0.585069444,0.162162162,0.514594595,27.75160096,21.424286,46.34197
6010,linker105_CH_linker66_N_uni_relaxed.cif,24.86173,24.06075,0.189965,7749.03,4.78636,0.920561,1,0.464285714,0.321428571,0.142857143,0.071428571,2,0,0,0,91,0.583333333,0.214285714,0.68,29.09242149,20.928251,59.399906
