COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_CO2(mol/kg),D_CO2(10^-8 m2/s),P_CO2(10^4 Barrer)
20472N2.cif,34.55963,34.39789,0.34938,2451.16,2.34896,0.788749,0,0.576923077,0.346153846,0,0.076923077,0,0,0,0,0,127,0.705555556,0.076923077,0.264615385,4.993020539,2.171770736,8.925421653
19467N2.cif,10.35833,9.87273,0.508757,3092.57,1.46034,0.763285,0,0.461538462,0.423076923,0.038461538,0.076923077,0,0,0,0,0.5,76,0.527777778,0.115384615,0.381538462,12.7192218,0.604734919,8.921487348
21180N2.cif,26.30129,26.20123,0.541178,1858.59,1.39392,0.742465,0,0.5,0.333333333,0.111111111,0,0.055555556,0,0,0,0,67,0.62037037,0.111111111,0.337777778,5.436595698,1.363014261,8.893200972
21411N2.cif,26.40974,26.1042,0.391003,2831.87,2.02234,0.758425,0,0.483870968,0.451612903,0.032258065,0.032258065,0,0,0,0,1,187,0.519444444,0.064516129,0.209032258,6.231371254,1.608464443,8.877738978
16031N2.cif,20.89927,20.59917,0.459652,2402.15,1.65482,0.707618,0,0.50877193,0.403508772,0.087719298,0,0,0,0,0,0,98.5,0.566091954,0.087719298,0.266666667,4.122110227,2.21492045,8.869932406
20010N2.cif,36.14446,35.95564,0.516564,2099.59,1.52426,0.824731,0,0.555555556,0.349206349,0.031746032,0.063492063,0,0,0,0,0.5,283,0.673809524,0.095238095,0.314920635,11.35197616,0.610395512,8.817263265
21000N2.cif,27.55602,27.45548,0.574519,1681.8,1.34328,0.720962,0,0.55,0.3,0.1,0,0,0.05,0,0,0,85,0.643939394,0.15,0.452,3.494760467,2.038003948,8.811579354
17030N2.cif,31.79267,31.61204,0.41393,2134.64,1.91453,0.760588,0,0.545454545,0.363636364,0.045454545,0.045454545,0,0,0,0,1,94,0.652777778,0.090909091,0.294545455,5.00595372,1.871355152,8.809149301
21380N2.cif,14.88759,14.53938,0.709137,1688.66,0.937703,0.658095,0,0.576923077,0.346153846,0.038461538,0,0.038461538,0,0,0,0,62.5,0.694444444,0.038461538,0.116923077,5.981902776,1.051735841,8.769590448
09000N3.cif,9.35856,9.26179,0.545319,3250,1.33456,0.709376,1,0.561643836,0.383561644,0.054794521,0,0,0,0,0,0,105,0.640243902,0.054794521,0.166575342,12.43167915,0.609963678,8.761438942
