COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_CH4(mol/kg),D_CH4(10^-8 m2/s),P_CH4(10^4 Barrer)
13070N2.cif,21.71779,21.48075,0.626797,1652.57,1.13246,0.630622,0,0.473684211,0.263157895,0.105263158,0.157894737,0,0,0,0,0.666666667,73,0.675925926,0.263157895,0.863157895,0.58962883,4.360084087,3.03517791
20470N2.cif,24.5783,24.20917,0.543008,2146.37,1.3514,0.661362,0,0.567567568,0.324324324,0,0.108108108,0,0,0,0,0,181,0.718253968,0.108108108,0.371891892,0.79325952,3.320503965,2.825395913
21001N2.cif,28.12187,27.90898,0.535607,1807.04,1.45614,0.739096,0,0.571428571,0.333333333,0.047619048,0,0,0.047619048,0,0,0,94,0.652777778,0.095238095,0.285714286,0.765104089,10.20194674,9.229224735
19522N2.cif,13.63704,13.20257,0.568271,2255.54,1.23807,0.622486,0,0.447368421,0.447368421,0.026315789,0.078947368,0,0,0,0,0.333333333,100,0.490196078,0.105263158,0.351578947,0.682621879,8.132334823,5.865365597
17000N2.cif,21.9809,21.04411,0.390254,3472.7,2.08746,0.869738,0,0.613333333,0.28,0.053333333,0.053333333,0,0,0,0,1,277,0.752717391,0.106666667,0.3456,1.577255797,6.691164537,10.69927132
20166N2.cif,26.03906,25.74682,0.466196,2146.4,1.63751,0.676034,0,0.481481481,0.37037037,0.111111111,0.037037037,0,0,0,0,3,88,0.564102564,0.148148148,0.465185185,0.751264874,11.50223931,8.134429784
19454N2.cif,31.97438,31.63849,0.322607,2827.68,2.57471,0.769728,0,0.484536082,0.432989691,0.06185567,0.020618557,0,0,0,0,3,148,0.524822695,0.082474227,0.258969072,1.159402509,20.77470545,17.86465909
15210N2.cif,22.30023,22.06435,0.617226,1729.01,1.15637,0.714783,0,0.5625,0.25,0,0.125,0,0,0.0625,0,0,85,0.787037037,0.125,0.43,0.778549542,13.37470906,13.7215627
20030N2.cif,17.87167,17.55312,0.772632,1150.51,0.78252,0.431697,0,0.408163265,0.387755102,0.081632653,0.102040816,0,0,0.020408163,0,0.8,115,0.479166667,0.183673469,0.599183673,0.334281791,5.086620121,1.693980077
20641N2.cif,19.28585,18.93959,0.514391,2162.25,1.41146,0.685461,0,0.586206897,0.379310345,0.034482759,0,0,0,0,0,0,68.5,0.671568627,0.034482759,0.104827586,0.81757612,9.52646774,8.202585409
19215C2.cif,25.11446,24.81643,0.468225,2149.14,1.63789,0.719198,0,0.528301887,0.339622642,0.075471698,0,0,0.056603774,0,0,0,100,0.595238095,0.12962963,0.446296296,0.839392497,20.72100142,17.49417406
20400N2.cif,5.74576,4.4389,0.735935,1821.85,0.851297,0.575497,0,0.555555556,0.333333333,0.111111111,0,0,0,0,0,0,40,0.666666667,0.111111111,0.337777778,0.896726347,0.855699768,0.97068522
18141N2.cif,19.79874,19.51385,0.441063,2587.07,1.72538,0.718218,0,0.5625,0.40625,0.03125,0,0,0,0,0,0,68.5,0.634259259,0.03125,0.095,0.965947327,7.909732017,7.229140706
15252N2.cif,22.61732,22.49059,0.520862,2056.67,1.44238,0.73111,0,0.543478261,0.347826087,0.108695652,0,0,0,0,0,0,64,0.64,0.108695652,0.330434783,0.874384506,9.939353489,9.88508797
15211N2.cif,23.73244,21.04675,0.309959,5270.79,2.7565,0.914725,0,0.5625,0.25,0,0.125,0,0,0.0625,0,0,169,0.782407407,0.125,0.43,1.935663941,11.95566892,19.59806484
20091N2.cif,15.15651,15.0233,0.615988,1993.55,1.1094,0.620744,0,0.584415584,0.337662338,0.051948052,0.025974026,0,0,0,0,2,125,0.694444444,0.077922078,0.247272727,0.710588871,2.386061853,1.936419432
