COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_H2S(10^-8 m2/s),P_H2S(10^4 Barrer)
21051N2.cif,19.78271,19.03146,0.365699,3885.19,2.20865,0.78702,0,0.568421053,0.378947368,0.021052632,0.031578947,0,0,0,0,0.666666667,285,0.659722222,0.052631579,0.172631579,39.59803591,0.502239487,17.09655441
11040N2.cif,41.2682,41.13741,0.336774,2293.27,2.47733,0.834731,0,0.608695652,0.260869565,0,0.086956522,0,0,0.043478261,0,0,133,0.791666667,0.086956522,0.299130435,18.41757082,1.087573042,16.81862283
13122N2.cif,27.83853,27.70121,0.402122,2336.28,1.95995,0.757596,0,0.6,0.392307692,0.007692308,0,0,0,0,0,0,105.5,0.676282051,0.007692308,0.023384615,29.83923912,0.614368235,16.68117182
15186N2.cif,44.62581,44.50279,0.363876,1916.32,2.28792,0.812419,0,0.566666667,0.233333333,0.033333333,0.133333333,0,0,0.033333333,0,0.25,160,0.784313725,0.166666667,0.56,16.31478788,1.155527023,16.64598782
21520N3.cif,8.19994,7.0698,0.381732,7389.24,2.10677,0.831894,1,0.606557377,0.327868852,0,0.06557377,0,0,0,0,0,55,0.743243243,0.06557377,0.22557377,41.47219627,0.410985683,16.16682878
18101N2.cif,28.47879,28.26931,0.41945,2321.44,1.87956,0.754746,0,0.555555556,0.333333333,0.055555556,0.055555556,0,0,0,0,1,82,0.683333333,0.111111111,0.36,16.67240469,0.998001829,15.73349295
21050N2.cif,19.34281,18.67391,0.359797,3928.42,2.25505,0.787508,0,0.564705882,0.376470588,0.023529412,0.035294118,0,0,0,0,0.666666667,253,0.658854167,0.058823529,0.192941176,39.74910129,0.458843595,15.43544129
13130N2.cif,43.9063,43.78181,0.375995,1842.67,2.19998,0.805243,0,0.575757576,0.242424242,0.03030303,0.121212121,0,0,0.03030303,0,0.25,178,0.780701754,0.151515152,0.509090909,15.2296941,1.113237375,15.33213157
14040N2.cif,34.3671,34.23857,0.391468,2159.23,2.03245,0.751386,0,0.483870968,0.387096774,0.064516129,0.064516129,0,0,0,0,1,103,0.572222222,0.129032258,0.418064516,13.71128143,1.265377468,15.24305648
14072N2.cif,21.4664,20.98216,0.312968,4492.7,2.70641,0.87207,0,0.571428571,0.346938776,0.040816327,0.040816327,0,0,0,0,1,153,0.683035714,0.081632653,0.264489796,53.72233324,0.347741687,15.22921277
15150N2.cif,15.66522,14.44901,0.388869,4071.22,2.05658,0.825554,0,0.566666667,0.333333333,0.066666667,0.033333333,0,0,0,0,2,185,0.680147059,0.1,0.317333333,40.93879523,0.383829001,15.06732664
15130N2.cif,29.36548,29.18172,0.478265,1910.59,1.59803,0.74468,0,0.611111111,0.222222222,0,0.111111111,0,0,0.055555556,0,0,109,0.825757576,0.111111111,0.382222222,23.63440679,0.596270255,14.9913482
19531N2.cif,35.06104,34.80543,0.200938,4926.27,4.4558,0.898054,0,0.571428571,0.38961039,0.038961039,0,0,0,0,0,0,114,0.647727273,0.038961039,0.118441558,28.90004011,0.961229562,14.97285579
20100C3.cif,50.96214,50.91801,0.328319,1956.73,2.61977,0.836915,1,0.5,0.394736842,0.078947368,0,0,0.026315789,0,0,0,124,0.543859649,0.105263158,0.317894737,12.90792411,1.408997901,14.92652347
20202N2.cif,30.65329,30.53322,0.354451,2624.1,2.30887,0.848099,0,0.608695652,0.347826087,0.043478261,0,0,0,0,0,0,118,0.702380952,0.043478261,0.132173913,30.81578202,0.537260357,14.86535542
21313N3.cif,40.84634,40.78327,0.327254,2407.86,2.59218,0.863105,1,0.607142857,0.357142857,0.035714286,0,0,0,0,0,0,142,0.696078431,0.035714286,0.108571429,24.82380543,0.704643145,14.75709036
14073N2.cif,20.23652,19.93614,0.312968,4749.81,2.69554,0.866003,0,0.571428571,0.346938776,0.040816327,0.040816327,0,0,0,0,1,153,0.683035714,0.081632653,0.264489796,52.75868381,0.342053957,14.60906605
14031N2.cif,20.1365,19.92386,0.451,2859.02,1.72293,0.779198,0,0.564102564,0.307692308,0.051282051,0.051282051,0,0,0.025641026,0,1,187,0.708333333,0.102564103,0.332307692,33.57829753,0.413947816,14.58959347
12024N2.cif,32.24029,32.07521,0.429733,2069.12,1.84207,0.763719,0,0.589147287,0.248062016,0.062015504,0.062015504,0,0,0.031007752,0.007751938,1,117,0.769736842,0.124031008,0.401860465,12.44832224,1.186547865,14.4791456
20564N3.cif,10.39141,8.99001,0.501099,4268.8,1.5296,0.833738,1,0.5,0.333333333,0,0.125,0,0,0.041666667,0,0,65,0.677083333,0.12,0.4128,30.3157092,0.380848679,14.4074748
19051N2.cif,34.45228,34.29511,0.383975,2229.58,2.12451,0.787892,0,0.6,0.25,0.1,0,0.05,0,0,0,0,109,0.756944444,0.1,0.304,17.80640148,0.892675117,14.36328509
19360N2.cif,27.67707,27.47121,0.478197,2012.54,1.62891,0.80291,0,0.571428571,0.380952381,0.047619048,0,0,0,0,0,0,94,0.652777778,0.047619048,0.144761905,31.55401671,0.394986071,14.29304288
16430N2.cif,12.08106,11.31929,0.440988,4338.63,1.6937,0.744765,0,0.448275862,0.482758621,0.034482759,0.034482759,0,0,0,0,1,70,0.448717949,0.068965517,0.223448276,28.70344036,0.507163927,14.28048283
15080N2.cif,11.01506,9.25289,0.416852,4813.94,1.88643,0.824157,0,0.492307692,0.353846154,0.030769231,0.092307692,0,0,0.030769231,0,0.333333333,81,0.6328125,0.123076923,0.411076923,37.38549307,0.368696353,14.14419864
19402N3.cif,6.34336,5.7532,0.46182,7409.18,1.64666,0.801027,1,0.547169811,0.377358491,0.075471698,0,0,0,0,0,0,73,0.629310345,0.075471698,0.229433962,31.70952412,0.400316412,14.02579744
20500N3.cif,12.1317,9.18261,0.443234,4573.72,1.76579,0.783959,1,0.529411765,0.294117647,0.058823529,0.117647059,0,0,0,0,0.5,151,0.699074074,0.176470588,0.583529412,33.92415601,0.397110137,13.98173264
20310N2.cif,28.9663,28.4364,0.207679,5840.48,4.29143,0.905505,0,0.555555556,0.388888889,0.055555556,0,0,0,0,0,0,76,0.633333333,0.054545455,0.165818182,49.18652526,0.503676703,13.9154096
14030N2.cif,41.24391,41.07732,0.385723,1920.6,2.09705,0.782083,0,0.564102564,0.307692308,0.051282051,0.051282051,0,0,0.025641026,0,1,187,0.708333333,0.102564103,0.332307692,13.27100985,1.159107851,13.86024003
19363N2.cif,33.62292,33.43122,0.408946,2150.7,1.99845,0.809263,0,0.535714286,0.357142857,0.035714286,0.035714286,0.035714286,0,0,0,1,118,0.655555556,0.071428571,0.231428571,20.26368813,0.691057995,13.84213844
16331N2.cif,30.60553,30.41534,0.393362,2331.82,2.03756,0.762097,0,0.55,0.35,0.1,0,0,0,0,0,0,85,0.643939394,0.1,0.304,16.03755991,0.953328817,13.68983516
21392N2.cif,37.30939,37.1392,0.403371,1968.93,1.9989,0.750816,0,0.482758621,0.344827586,0.068965517,0.068965517,0,0.034482759,0,0,1,97,0.577380952,0.172413793,0.555862069,16.0732032,0.934523719,13.5876861
21411N2.cif,26.40974,26.1042,0.391003,2831.87,2.02234,0.758425,0,0.483870968,0.451612903,0.032258065,0.032258065,0,0,0,0,1,187,0.519444444,0.064516129,0.209032258,22.35197591,0.685146071,13.56458066
21101N2.cif,27.0837,27.01039,0.42443,2356.15,1.87616,0.753245,0,0.611111111,0.291666667,0.055555556,0,0.013888889,0.027777778,0,0,0,253,0.71875,0.083333333,0.279444444,28.28309406,0.499715754,13.49605505
19361N2.cif,33.24253,33.04876,0.38916,2234.58,2.08398,0.78555,0,0.571428571,0.333333333,0.047619048,0,0.047619048,0,0,0,0,100,0.694444444,0.047619048,0.144761905,19.178999,0.768409309,13.45659347
19181N2.cif,25.68521,25.49386,0.521754,2034.41,1.44907,0.73012,0,0.5,0.3125,0.125,0.0625,0,0,0,0,2,61,0.635416667,0.1875,0.595,26.42912688,0.44480791,13.37611213
16001N2.cif,38.28456,38.1313,0.393051,1972.77,2.05831,0.794973,0,0.666666667,0.222222222,0,0.074074074,0,0,0.037037037,0,0,181,0.837962963,0.074074074,0.254814815,16.03816411,0.890373694,13.32731947
16000N2.cif,33.55356,33.38092,0.444588,1902.97,1.76703,0.767511,0,0.64,0.24,0,0.08,0,0,0.04,0,0,157,0.817708333,0.08,0.2752,16.05481101,0.811002293,13.27040493
21312N2.cif,45.47565,45.33846,0.269235,2711.4,3.20211,0.851109,0,0.607142857,0.357142857,0.035714286,0,0,0,0,0,0,142,0.696078431,0.035714286,0.108571429,19.30979744,1.003853008,13.2671944
21601N2.cif,37.95969,37.80266,0.33991,2351.82,2.4553,0.804088,0,0.541666667,0.333333333,0.083333333,0,0.041666667,0,0,0,0,103,0.66025641,0.083333333,0.253333333,15.66164811,1.035436842,13.23863316
19110N2.cif,27.3279,27.10618,0.408741,2348.89,1.94705,0.750299,0,0.523809524,0.333333333,0.095238095,0.047619048,0,0,0,0,2,85,0.643939394,0.142857143,0.453333333,18.76364248,0.768743037,13.2128184
19071N2.cif,10.34676,9.66512,0.517673,3829.55,1.48468,0.813011,0,0.523809524,0.285714286,0.142857143,0.047619048,0,0,0,0,3,88,0.666666667,0.19047619,0.598095238,30.65202343,0.341937939,13.17567657
18100N2.cif,33.17197,32.98954,0.352868,2550.42,2.3258,0.797919,0,0.578947368,0.315789474,0.052631579,0.052631579,0,0,0,0,1,94,0.712121212,0.105263158,0.341052632,18.19636706,0.857965451,13.12925617
21280N3.cif,38.09649,38.02998,0.290217,2793.52,2.95475,0.831827,1,0.5,0.358974359,0.083333333,0.057692308,0,0,0,0,1.444444444,47.75,0.612179487,0.141025641,0.451794872,20.53672602,0.886053306,13.12083492
21290N2.cif,26.95282,26.74378,0.462772,2047.65,1.6536,0.730585,0,0.573770492,0.360655738,0.032786885,0,0.032786885,0,0,0,0,189,0.675,0.032786885,0.099672131,14.73603167,0.879738667,13.09141538
21010N2.cif,27.09464,26.88019,0.446606,2109.45,1.75004,0.772144,0,0.581395349,0.325581395,0.046511628,0.046511628,0,0,0,0,1,106,0.706666667,0.093023256,0.301395349,19.26565825,0.658922542,13.07541923
16350N2.cif,29.99816,29.80285,0.502317,1777.56,1.54186,0.765391,0,0.578947368,0.210526316,0,0.105263158,0.052631579,0,0.052631579,0,0,109,0.825757576,0.105263158,0.362105263,20.73310967,0.549045652,13.07219988
19450N2.cif,33.69974,33.52054,0.373701,2187.72,2.14937,0.773866,0,0.5,0.430232558,0.058139535,0.011627907,0,0,0,0,5,140.5,0.544573643,0.069767442,0.216744186,13.76394583,1.095331422,13.02246138
18090N2.cif,24.82011,24.69607,0.452534,2034.74,1.70489,0.751625,0,0.606060606,0.303030303,0,0.060606061,0,0,0.03030303,0,0,181,0.754166667,0.060606061,0.208484848,16.75206222,0.761486158,12.95976936
15140N2.cif,32.2827,32.11457,0.363533,2354.28,2.18456,0.744175,0,0.545454545,0.409090909,0.045454545,0,0,0,0,0,0,88,0.611111111,0.045454545,0.138181818,8.917551757,1.794527861,12.93091662
21450N2.cif,37.64006,37.49572,0.355495,2412.97,2.32538,0.796876,0,0.613138686,0.255474453,0.04379562,0.087591241,0,0,0,0,0.5,131,0.779761905,0.131386861,0.434452555,16.52693768,0.92220444,12.89610002
16460N2.cif,29.24907,29.22232,0.433033,2092.02,1.81252,0.748289,0,0.523809524,0.333333333,0.095238095,0.047619048,0,0,0,0,2,169,0.640151515,0.142857143,0.453333333,14.16950255,0.939085063,12.87847508
21000N2.cif,27.55602,27.45548,0.574519,1681.8,1.34328,0.720962,0,0.55,0.3,0.1,0,0,0.05,0,0,0,85,0.643939394,0.15,0.452,14.97157755,0.694424326,12.86245331
16002N2.cif,35.8627,35.70086,0.417252,1937.81,1.91132,0.780556,0,0.653846154,0.230769231,0,0.076923077,0,0,0.038461538,0,0,169,0.828431373,0.076923077,0.264615385,15.60500196,0.846574878,12.85127593
21230N2.cif,10.07568,9.2616,0.439893,5010.37,1.73147,0.751402,0,0.417391304,0.469565217,0.060869565,0.052173913,0,0,0,0,1.166666667,78,0.40625,0.113043478,0.364521739,29.48333647,0.440968395,12.83565516
21052N2.cif,18.66837,17.72865,0.378504,3660.02,2.11665,0.765182,0,0.539325843,0.404494382,0.02247191,0.033707865,0,0,0,0,0.666666667,237,0.6171875,0.056179775,0.184269663,36.50975575,0.406180253,12.82854797
21190N2.cif,41.18521,41.07749,0.353013,2225.88,2.34677,0.80828,0,0.517857143,0.339285714,0.089285714,0.053571429,0,0,0,0,1.666666667,110.5,0.635057471,0.142857143,0.455714286,14.8655132,1.010980087,12.80824395
21100N2.cif,27.68757,27.52556,0.408199,2434.37,1.95851,0.763239,0,0.611111111,0.305555556,0.055555556,0,0.013888889,0.013888889,0,0,0,253,0.71875,0.069444444,0.224166667,22.9599151,0.597724024,12.77079785
16300N2.cif,32.27168,32.11652,0.361341,2429.29,2.21016,0.754853,0,0.571428571,0.380952381,0.047619048,0,0,0,0,0,0,94,0.652777778,0.047619048,0.144761905,12.04756363,1.295061167,12.71111617
