COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_CH4(10^-8m2/s),P_H2S(10^4Barrer)
linker109_C_linker96_C_ctn_relaxed.cif,17.36177,15.21181,0.185946,7026.1,4.86839,0.935309,1,0.595505618,0.359550562,0.04494382,0,0,0,0,0,433,0.68081761,0.04494382,0.136629213,98.6346595,0.914648132,50.78860555
linker109_CH_linker105_N_ptr_relaxed.cif,27.88306,23.73851,0.188916,6123.95,4.78446,0.918685,1,0.561643836,0.356164384,0.054794521,0.02739726,2,0,0,0,487,0.659891599,0.082191781,0.260821918,38.506834,2.164891152,46.83278438
linker109_CH_linker3_N_unj_relaxed_interp_2.cif,25.70383,24.90911,0.180218,7318.52,5.01094,0.920579,1,0.544303797,0.405063291,0.050632911,0,0,0,0,0,313,0.606589147,0.050632911,0.153924051,50.52042306,1.869306362,50.71628411
linker109_CH_linker39_N_qzd_relaxed.cif,18.18541,15.24831,0.172659,7929.02,5.31046,0.936841,1,0.550561798,0.314606742,0.134831461,0,0,0,0,0,385,0.654761905,0.134831461,0.40988764,106.070771,1.012309818,56.22183533
linker109_CH_linker42_N_dft_relaxed_interp_2.cif,23.78461,16.57353,0.196107,7072.68,4.61779,0.928689,1,0.555555556,0.296296296,0.098765432,0.049382716,2,0,0,0,497,0.690277778,0.148148148,0.470123457,53.67402313,1.663118033,52.62490841
linker109_CH_linker49_N_crb_relaxed_interp_2.cif,23.5161,22.34952,0.215551,6943.1,4.14288,0.91403,1,0.542168675,0.337349398,0.096385542,0.024096386,4,0,0,0,465,0.645833333,0.120481928,0.375903614,54.81689566,1.197057579,41.8485779
linker109_CH_linker49_N_npo_relaxed_interp_2.cif,27.3509,22.96281,0.166715,7240.27,5.50963,0.934153,1,0.542168675,0.337349398,0.096385542,0.024096386,4,0,0,0,349,0.646296296,0.120481928,0.375903614,38.74729691,2.213349541,43.23394235
linker109_CH_linker60_N_pcb_relaxed_interp_2.cif,33.25608,24.09929,0.162333,7594.49,5.63865,0.926381,1,0.50617284,0.395061728,0.098765432,0,0,0,0,0,737,0.561737805,0.098765432,0.300246914,44.66203372,1.790076121,38.91770146
linker109_CH_linker71_N_pcb_relaxed_interp_2.cif,34.38411,23.99733,0.172833,7119.74,5.29366,0.923752,1,0.506493506,0.337662338,0.12987013,0.025974026,5,0,0,0,753,0.603365385,0.155844156,0.484155844,46.95394857,1.736564862,42.13916476
linker109_CH_linker74_N_sod_relaxed_interp_2.cif,34.98829,24.75864,0.179822,7206.83,5.05821,0.921409,1,0.50617284,0.345679012,0.098765432,0.049382716,2,0,0,0,601,0.610772358,0.148148148,0.470123457,42.95901602,1.78696133,41.172334
linker109_CH_linker8_N_dia_relaxed_interp_2.cif,22.07399,15.37135,0.24052,6202.32,3.67844,0.887158,1,0.50617284,0.296296296,0.098765432,0.098765432,1,0,0,0,433,0.660060976,0.197530864,0.64,31.12981146,1.957793482,42.09555803
linker109_CH_linker81_N_umi_relaxed_interp_2.cif,35.26938,19.64605,0.161609,7225.38,5.68199,0.930793,1,0.536231884,0.347826087,0.115942029,0,0,0,0,0,1473,0.622043919,0.115942029,0.352463768,34.19692511,2.529341229,42.11665449
linker109_CH_linker86_N_sra_relaxed_interp_2.cif,23.22801,19.15307,0.253673,6631.52,3.50065,0.901483,1,0.518987342,0.253164557,0.126582278,0,0,0.025316456,0.075949367,0,409,0.62347561,0.202531646,0.687088608,71.79484137,0.693621874,36.86281875
linker109_CH_linker88_N_sra_relaxed_interp_2.cif,26.00537,23.82608,0.181448,7089.62,5.00409,0.923348,1,0.532467532,0.363636364,0.051948052,0.051948052,1,0,0,0,417,0.635670732,0.103896104,0.336623377,38.28514679,1.862970916,38.68073553
linker109_CH_linker89_N_cdl_relaxed.cif,17.50508,15.57343,0.162599,8304.09,5.64235,0.935955,1,0.564356436,0.396039604,0.03960396,0,0,0,0,0,577,0.632675439,0.03960396,0.12039604,25.22796922,3.509746286,43.61858658
